transcript_id	miracidia	sporocyst_48h	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_201130.1	0.56	0.24	4.06	2.61	11.05	31.08	33.70	37.77	50.56	6.13	55.10
Smp_201130.2	0.04	0.03	0.14	0.01	0.04	0.07	0.04	0.05	0.06	0.02	0.01
Smp_201180.1	0.31	0.14	1.58	2.58	0.00	0.87	0.00	0.47	0.00	0.00	0.00
Smp_201210.1	0.26	0.03	1.45	1.43	0.44	3.75	5.65	4.60	5.98	1.13	8.90
Smp_201220.1	146.94	60.96	78.08	91.52	92.50	71.53	99.36	72.89	95.12	28.62	105.21
Smp_201230.1	0.14	0.00	0.36	3.38	0.90	0.09	0.19	0.38	0.07	1.61	0.00
Smp_201290.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_201320.1	2.25	2.26	2.51	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00
Smp_201330.1	103.06	185.95	6.63	21.85	33.30	1.69	2.04	2.70	3.39	8.85	4.20
Smp_201340.1	3.27	9.87	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_201440.1	254.43	121.81	349.76	493.11	459.33	180.34	204.40	200.06	201.40	205.83	250.65
Smp_201450.1	0.00	0.10	2.39	6.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Smp_201470.1	140.60	164.59	54.76	89.10	322.24	231.16	231.44	227.98	203.60	357.32	187.84
Smp_201520.1	0.11	0.91	2.79	0.00	10.32	5.41	2.31	4.01	4.70	2.90	4.71
Smp_201530.1	0.12	0.00	1.50	3.14	13.27	0.90	1.62	1.63	0.00	1.63	2.69
Smp_201600.1	0.18	0.03	0.79	1.25	0.83	1.50	1.80	2.13	2.41	0.72	2.61
Smp_201670.1	0.37	0.00	8.76	0.00	25.76	12.89	9.90	8.93	12.89	0.00	0.37
